Lagerstroemia indica, not metaphorical, multiword expression
Dwarf Japanese rush, metaphorical, multiword expression
Weymouth Midnight, metaphorical, multiword expression
Félix crousse, metaphorical, multiword expression
Quercus marilandica, not metaphorical, multiword expression
Grandiﬂora, not metaphorical, not multiword expression
Malus ﬂoribunda, not metaphorical, multiword expression
Red maple, not metaphorical, multiword expression
Persicaria bisorta, not metaphorical, multiword expression
Lilies, not metaphorical, not multiword expression
Schoenholzeri, not metaphorical, not multiword expression
Lizard’s tail, metaphorical, multiword expression
Euonymus fortunei, metaphorical, multiword expression
Devil’s ﬁg, not metaphorical, multiword expression
Nerine sarniensis, not metaphorical, multiword expression
Phoenix canariensis, metaphorical, multiword expression
Hydrangea seemannii, not metaphorical, multiword expression
Magnolia, not metaphorical, not multiword expression
Annemarie, not metaphorical, not multiword expression
Argyranthemum butterfly, not metaphorical, multiword expression
Eriophyllum lanatum, not metaphorical, multiword expression
Rubus biﬂorus, not metaphorical, multiword expression
Eileen May Robinson, not metaphorical, multiword expression
Ferocactus cylindraceus, not metaphorical, multiword expression
Cosmopolitan, metaphorical, not multiword expression
Jasminum beesianum, not metaphorical, multiword expression
Ashford Red, not metaphorical, multiword expression
Golden-chalice vine, metaphorical, multiword expression
Cheerfulness, metaphorical, not multiword expression
Glacier, metaphorical, not multiword expression
Stoneham gold, metaphorical, multiword expression
Aruncus dioicus, not metaphorical, multiword expression
Iberis saxatilis, not metaphorical, multiword expression
C. x williamsii, not metaphorical, multiword expression
Cedronella mexicana, not metaphorical, multiword expression
Gulle dame, not metaphorical, multiword expression
Actaea, not metaphorical, not multiword expression
Dicjem, not metaphorical, not multiword expression
Yellow jasmine, not metaphorical, multiword expression
Haworthia arachnoidea, not metaphorical, multiword expression
Van Volxem’s maple, not metaphorical, multiword expression
Wimsettii, not metaphorical, not multiword expression
Unicum, metaphorical, not multiword expression
Bob’s Tinsie, not metaphorical, multiword expression
Elegans, metaphorical,  not multiword expression
Halimium lasianthum, not metaphorical, multiword expression
Oncidium Hambühren Stern gx, not metaphorical, multiword expression
Opuntia robusta, not metaphorical, multiword expression
Alstroemeria Ligtu Hybrids, not metaphorical, multiword expression
Maculata, metaphorical, not multiword expression
Dianthus candy floss, metaphorical, multiword expression
Prickly poppy, not metaphorical, multiword expression
Summer Melody, metaphorical, multiword expression
Senecio articulates, not metaphorical, multiword expression
Nothofagus x alpine, not metaphorical, multiword expression
Canary-bird bush, metaphorical, multiword expression
Doumetii, not metaphorical, not multiword expression
Acer saccharinum, not metaphorical, multiword expression
Senecio macroglossus, not metaphorical, multiword expression
Muscari botryoide, not metaphorical, multiword expression
Robustissima, not metaphorical, not multiword expression
Dryopteris wallichiana, not metaphorical, multiword expression
Cyclamen rohlfsianum, not metaphorical, multiword expression
English bluebells, metaphorical, multiword expression
Veronica spicata subsp. incana, not metaphorical, multiword expression
Rosa spinosissima, not metaphorical, multiword expression
Philadelphus, not metaphorical, not multiword expression
Pinaceae, not metaphorical, not multiword expression
Ballota pseudodictamnus, not metaphorical, multiword expression
Korpeahn, not metaphorical, not multiword expression
Leptospermum rupestre, not metaphorical, multiword expression
Tortuosa, not metaphorical, not multiword expression
Marsh buckler fern, not metaphorical, multiword expression
Castanospermum austral, not metaphorical, multiword expression
Caralluma joannis, not metaphorical, multiword expression
Marvel of Peru, metaphorical, multiword expression
Ash-leaved maple, metaphorical, multiword expression
Epithelantha micromeris, not metaphorical, multiword expression
Hedera helix, not metaphorical, multiword expression
Hydrangeas, not metaphorical, not multiword expression
Blechnum tabulare, not metaphorical, multiword expression
Bayonet plant, not metaphorical, multiword expression
Purpurascens, not metaphorical, not multiword expression
Cedrus, not metaphorical, not multiword expression
Galium odoratum, not metaphorical, multiword expression
Dahlia happy single romeo, metaphorical, multiword expression
Dryopteris filix-mas, not metaphorical, multiword expression
Paciﬁc Frost, metaphorical, multiword expression
Harvest Inﬂammation, metaphorical, multiword expression
Climbers, metaphorical, not multiword expression
Woolly willow, metaphorical, multiword expression
Pereskia aculeate, not metaphorical, multiword expression
Raywood, not metaphorical, not multiword expression
Cichorium intybus, not metaphorical, multiword expression
var. laevifolium, not metaphorical, multiword expression
Acer platanoides, not metaphorical, multiword expression
Stachys officinalis, not metaphorical, multiword expression
Crambe maritima, not metaphorical, multiword expression
Quercus macranthera, not metaphorical, multiword expression
Saxifraga exarata subsp. Moschata, not metaphorical, multiword expression
Frogbit, metaphorical, not multiword expression
Dicmagic, not metaphorical, not multiword expression
Hardy age, metaphorical, multiword expression
Phormium tenax, not metaphorical, multiword expression
Juniperus communis, not metaphorical, multiword expression
Pinus nigra, not metaphorical, multiword expression
Passiflora caerulea, not metaphorical, multiword expression
Lardizabalaceae, not metaphorical, not multiword expression
Lamb’s-tail cactus, metaphorical, multiword expression
Osmanthus decorus, not metaphorical, multiword expression
Calceolaria, not metaphorical, not multiword expression
Bishop’s mitre, metaphorical, multiword expression
Quercus laurifolia, not metaphorical, multiword expression
Weeping silver linden, metaphorical, multiword expression
Temple’s Upright, metaphorical, multiword expression
Hillcrest Royal, metaphorical, multiword expression
Oroya peruviana, not metaphorical, multiword expression
Phaius tankervilleae, not metaphorical, multiword expression
Carnegiea gigantea, not metaphorical, multiword expression
Spartium junceum, not metaphorical, multiword expression
Bletilla striata, not metaphorical, multiword expression
Schizophragma hydrangeoides, not metaphorical, multiword expression
Dublin, not metaphorical, not multiword expression
Longwood Purple, not metaphorical, multiword expression
Acorus gramineus, not metaphorical, multiword expression
Hydrocharis morsus-ranae, not metaphorical, multiword expression
Cardiocrinum giganteum, not metaphorical, multiword expression
Magilla Vanilla, metaphorical, multiword expression
Beoley Gold, metaphorical, multiword expression
Scarlet ball cactus, metaphorical, multiword expression
Scoliopus bigelowii, not metaphorical, multiword expression
Lampranthus aurantiacus, not metaphorical, multiword expression
Haworthia attenuata, not metaphorical, multiword expression
Heuchera crème brûlée, metaphorical, multiword expression
Côte d’Azur, metaphorical, multiword expression
Queen Fabiola, not metaphorical, multiword expression
Blue Atlas cedar, metaphorical, multiword expression
Juncus effusus f. spiralis, not metaphorical, multiword expression
Violetta, not metaphorical, not multiword expression
Daisies, not metaphorical, not multiword expression
Narcissus jonquilla, not metaphorical, multiword expression
Lilium superbum, not metaphorical, multiword expression
Betula nigra, not metaphorical, multiword expression
Stipa calamagrostis, not metaphorical, multiword expression
Victoria, not metaphorical, not multiword expression
Geranium x magniﬁcum, metaphorical, multiword expression
Baccharis halimifolia, not metaphorical, multiword expression
Linaria maroccana, not metaphorical, multiword expression
Rosmarinus ofﬁcinalis, not metaphorical, multiword expression
Ferraria crispa, not metaphorical, multiword expression
Charity, metaphorical, not multiword expression
Winter jasmine, not metaphorical, multiword expression
Lemon vine, metaphorical, multiword expression
Queen-of-the-night, metaphorical, multiword expression
Kent Beauty, metaphorical, multiword expression
Cerise queen, metaphorical, multiword expression
Parsley fern, not metaphorical, multiword expression
Hawthorn maple, not metaphorical, multiword expression
Oncidium memoria, metaphorical, multiword expression
Halimium, not metaphorical, not multiword expression
Windsor, not metaphorical, not multiword expression
Gemeni, metaphorical, not multiword expression
Palmae, not metaphorical, not multiword expression
James Brydon, not metaphorical, multiword expression
Hecrack, metaphorical, not multiword expression
Cannas, not metaphorical, not multiword expression
Callistemon citrinus, not metaphorical, multiword expression
